Sr No,Authors,Title,Abstract,Author Keywords,Cited by,Source title,Year
379,AbdulHussein A.; Cozzarin B.; Dimitrov S.,Changes in consumer spending behavior during the COVID-19 pandemic across product categories,"We examine changes in online consumer spending during the COVID-19 pandemic. Specifically, we compare consumer spending on various product categories before the pandemic started to after. Unlike previous work, we not only look at the different consumer demographic profiles but also different product categories, providing a better understanding of spending behavior. E-commerce has been a favorite way of shopping for consumers before the pandemic, while some demographic groups were reluctant to use e-commerce. However, as pandemic-related restrictions on physical shopping were put in place, consumers found e-commerce the only way to shop for many essential products. As such, consumer online spending changed. We employ freshly released Canadian Perspectives Survey Series (CPSS) data on consumer spending by Statistics Canada. We examine the association between various demographic factors and the change in online spending empirically. Our findings indicate that, compared to their counterparts, younger consumers are more likely to have increased online spending on product categories related to internet connectivity and streaming services. Female consumers exhibit increased online spending on similar products, in addition to online learning services and home exercise equipment. Consumers living in urban areas exhibit a higher probability of increased online spending on computers, smartphone devices, internet connectivity, and food delivery services. Consumers with at least one child exhibit a similar trend. Larger households exhibit a considerable increase in the probability of increased online spending on food delivery services. Lastly, consumers with higher education exhibit a higher probability of increased online spending on products related to online learning and streaming services. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022.",Channel uncertainty; Consumer spending; COVID-19; Demographic analysis; E-commerce; Online spending; Transaction cost,14,Electronic Commerce Research,2024
380,Mu L.; Tang X.; Sugumaran V.; Xu W.; Sun X.,Optimal rebate strategy for an online retailer with a cashback platform: commission-driven or marketing-based?,"This paper analyzes an emerging rebate mode where a cashback website not only serves as a promotional device in generating more sales for an online retailer, but also makes decisions on its marketing effort autonomously under certain product availability conditions set by the online retailer. Using a game-theoretic approach, this paper analyzes the optimal decision of both parties in commission-driven rebate mode and marketing-based rebate mode in a market dominated by the online retailer and cashback website respectively. Our main findings are as follows: (1) In the Retailer Stackelberg (RS) game, which rebate mode an online retailer will adopt is related to the marketing cost of the rebate channel and the consumer utility discount (UD) factor. (2) Both rebate modes will help the retailer to expand the market and increase profit because of price differentiation. (3) There is a possible price trap in marketing-based rebate mode. (4) In RS game, the effect of consumer UD factor on the optimal marketing effort is related to the product availability in the rebate channel. (5) In both RS game and Cashback-website Stackelberg (CS) game, the online retailer should strive to become a leader. However, the cashback website prefers the online retailer to be a leader when marketing cost is relatively low in the marketing-based mode. Our results, consistent with several real-world observations, have useful implications for marketers. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Cashback website; Dual channel; Electronic commerce; Pricing strategy; Rebate strategy,14,Electronic Commerce Research,2023
381,Zhong B.; Shen H.; Zhang J.; Gao X.,Agency or wholesale? retail selling format in the presence of new manufacturer introduction,"This paper studies a supply chain that consists of a retailer, an incumbent manufacturer, and a new manufacturer who is entering the market. Using game-theoretical method, we study how the retailer chooses its selling format, agency or wholesale, in the presence of new manufacturer introduction. It is found that, in the absence of new manufacturer introduction, the retailer chooses agency when the commission rate is high enough, while choosing wholesale when the commission rate is low enough. In the presence of new manufacturer introduction, however, the retailer wholesales from at least one of the two manufacturers, even when the commission rate is sufficiently high. We put forward two effects that potentially explain this finding. The first is the format differentiation effect, under which the retailer offers different formats to different manufacturers so as to relax competition. The second is the low-quality wholesaling effect, under which the retailer always wholesales from the manufacturer whose product quality is relatively inferior. Doing so enables the retailer to allocate the maximum profit from the supply chain. These two effects work no matter when the new manufacturer’s product quality is inferior or superior to the incumbent’s. Furthermore, this paper also discusses the case when the game proceeds over two periods and the case when the retailer offers a hybrid selling format, through which the robustness of the model is checked and more managerial insights are derived. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Agency; Game theory; New manufacturer introduction; Supply chain; Wholesale,14,Electronic Commerce Research,2023
382,Jin J.; Lin C.; Wang F.; Xu T.; Zhang W.,A study of cognitive effort involved in the framing effect of summary descriptions of online product reviews for search vs. experience products,"Few studies have focused on summary descriptions of online product reviews regarding purchase decisions, and there is a gap between individual product reviews and summary descriptions of online product reviews. The current study applied eye-tracking to explore how the product type moderates the framing effect of summary descriptions of product reviews on e-consumers’ purchase decisions. The results showed that product type moderated the framing effect of summary reviews on e-consumers’ purchase intention. Specifically, for search products, compared with a negative frame, a positive frame increased e-consumers’ attention to function attributes and led to higher purchase intention. However, with experience products, e-consumers’ attention and purchase intention did not vary across framing messages. Referring to information asymmetry theory and signal theory, we posit that the cognitive effort involved in summary review information is high for search products and low for experience products since summary reviews are a more useful signal in reducing information asymmetry for search products than for experience products. The theoretical and practical implications are also discussed. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Cognitive effort; Eye-tracking; Framing effect; Online product reviews; Product type; Summary review,14,Electronic Commerce Research,2023
383,Hu F.; Zhou Z.,Information services and omnichannel retailing strategy choices of e-commerce platforms with supplier competition,"The integration of offline channels and online channels has become a direction for the transformation and development of many e-commerce platforms, so omnichannel retailing has become an important strategy. Thus, we build a theoretical model between a platform and two suppliers to study the platform’s optimal information service and omnichannel strategy choice (under a reselling agreement vs. under a hybrid retailing agreement). The results show that when the product competition intensity is low, an omnichannel strategy under a reselling agreement is conducive to increasing the offline information service level and profits of the platform. When the product competition intensity is high, the omnichannel strategy under a hybrid retailing agreement is the optimal choice, and the platform can set a smaller referral fee to transfer part of the profit to suppliers to encourage suppliers to enter omnichannel retailing. Furthermore, the platform can improve the information service level using new retailing technology, which can create a higher product showrooming effect. Finally, we introduce the case of China’s household appliances to verify the effectiveness of our research and suggest that the platform establishes experience stores that can weaken the competitive relationship between suppliers and the platform to achieve a win–win strategy. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",E-commerce platform; Information service; Omnichannel retailing; Strategy choice,14,Electronic Commerce Research,2023
384,Zhang Y.; Yang Q.,Assessing hotel decision-making of disabled guests: satisfaction correlation study between online comments’ credibility and perceived risk,"Online comments have become an important tool for disabled guests because of lower physical movement requirements. In order to illustrate and evaluate disabled guests’ decision-making characteristics, this paper has used two steps for studying: (1) Data mining technology to collect e-comments from C-trip (www.ctrip.com) of 97 hotels in the cities of Beijing, Shanghai, Hangzhou and Guangzhou. Over 260,000 words were collected and analyzed by using ROSTcm software for this research. (2) Examined the relationship between the credibility and the perceived risk of disabled guests for their behavioral intentions. The result of this study has showed that: (1) Disabled guests pay more attention to the hotel barrier-free facilities, hotel barrier-free facilities, hotel personalized service, location accessibility, and the attitude and atmosphere of the hotel. (2) Disabled guests show positive attitude towards the hotel, and a neutral attitude accounting for 25.86% which indicates that the hotel industry still has much improving room especially with regards to disabled accessible guestrooms and accessibility. (3) Electronic Word-of-Mouth (eWOM) source credibility has a great influence on the overall perceived risk of the review of disabled guests because they are more likely for seeking internet comments for their lodging decision-making than other common guests. eWOM rational management can reduce the overall potential risk for disabled guests. (4) Hotels can enhance disabled guests’ decision-making by advanced eWOM management. The study illustrated that disabled guests who used eWOM could be better managed and reduce potential risks when making decisions. As a result, this study also found that with better management of eWOM, it could help to meet the potential market for the disabled guests and at the meanwhile attract more customers because of higher social reputation. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Comment analysis; Disabled guests; eWOM; Hotel decision-making,14,Electronic Commerce Research,2021
385,Sadowski A.; Lewandowska-Gwarda K.; Pisarek-Bartoszewska R.; Engelseth P.,A longitudinal study of e-commerce diversity in Europe,"Owing to increased access to the Internet and the development of electronic commerce, e-commerce has become a common method of shopping in all countries. The purpose of this study is more precisely to research e-commerce diversity in Europe at the regional level and develop the conception of “E-commerce Supply Chain Management”. Statistical data derived from the European Statistical Office were applied to analyse the spatial diversity of e-retailing. Assessments of the regional diversity of e-retailing applied geographic information systems and exploratory spatial data analysis methods such us global and local spatial autocorrelation statistics. Clusters of regions with similar household preferences related to online shopping were identified. A spatial visualisation of the e-retailing diversity phenomenon may be utilised for the reconfiguration of supply chains and to adapt them to actual household preferences related to shopping methods. © 2021, The Author(s).",E-commerce; Internet access; Regional factors; Space–time diversity; Spatial analysis; Supply chain management,14,Electronic Commerce Research,2021
386,Chattopadhyay S.; Basu T.; Das A.K.; Ghosh K.; Murthy L.C.A.,Towards effective discovery of natural communities in complex networks and implications in e-commerce,"Automated community detection is an important problem in the study of complex networks. The idea of community detection is closely related to the concept of data clustering in pattern recognition. Data clustering refers to the task of grouping similar objects and segregating dissimilar objects. The community detection problem can be thought of as finding groups of densely interconnected nodes with few connections to nodes outside the group. A node similarity measure is proposed here that finds the similarity between two nodes by considering both neighbors and non-neighbors of these two nodes. Subsequently, a method is introduced for identifying communities in complex networks using this node similarity measure and the notion of data clustering. The significant characteristic of the proposed method is that it does not need any prior knowledge about the actual communities of a network. Extensive experiments on several real world and artificial networks with known ground-truth communities are reported. The proposed method is compared with various state of the art community detection algorithms by using several criteria, viz. normalized mutual information, f-measure etc. Moreover, it has been successfully applied in improving the effectiveness of a recommender system which is rapidly becoming a crucial tool in e-commerce applications. The empirical results suggest that the proposed technique has the potential to improve the performance of a recommender system and hence it may be useful for other e-commerce applications. © 2020, The Author(s).",Clustering; Community discovery; Complex networks; Machine learning; Recommender systems; Social network analysis,14,Electronic Commerce Research,2021
387,Shamshoddin S.; Khader J.; Gani S.,Predicting consumer preferences in electronic market based on IoT and Social Networks using deep learning based collaborative filtering techniques,"Collaborative filtering plays an important role in predicting consumer preferences in the electronic market. Most of the users purchased the products in the electronic market with the help of the Internet of Things (IoT) and Social Networks. Predicting consumer preference with the consumer’s history is a vital challenge in the recommendation systems. The researchers propose varieties of collaborative filtering techniques, but the accuracy of the results is poor. The main aim of this paper is to propose a deep learning with collaborative filtering technique for the recommendation system to Predicting User preferences from the IoT devices and Social Networks that are beneficial for users based on their preferences in electronic markets. In this paper similarity, neighborhood-based collaborative filtering model (SN-CFM) is introduced. The introduced model recommends the products by predicting consumer preferences based on the similarity of the consumers and neighborhood products. In addition, the introduced deep learning concept gets the information from the previous analysis before making rating to the items. The introduced SN-CFM model compared with other existing recommendation approaches. The results prove that the efficiency of the introduced model. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Deep learning with collaborative filtering; IoT; Prediction; Recommendations; Social Networks,14,Electronic Commerce Research,2020
388,Lei Z.,Research and analysis of deep learning algorithms for investment decision support model in electronic commerce,"In order to improve the accuracy of e-commerce decision-making, this paper proposes an investment decision-making support model in e-commerce based on deep learning calculation to support the company. Investment decision-making system is not only an important means of enterprise investment and financing, but also an important way for investors to make profits. It also plays an important role in macroeconomic regulation, resource allocation and other aspects. This paper takes investment data related to Internet and e-commerce business as the research object, studies the theory and method of investment decision-making quality evaluation at home and abroad, and puts forward a prediction model of company decision-making quality evaluation based on deep learning algorithm, aiming at providing decision support for investors. Then a neural network investment quality evaluation model is constructed, including model structure, parameters and algorithm design. The experimental data are input into training, and the data processing process and prediction results are displayed. Experiments show that the evaluation indexes of prediction model is mainly used to judge the quality of investment of Internet or commercial enterprises. Based on this deep learning model, various index data of enterprises are analyzed, which can assist investors in decision-making. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Decision support model; Deep learning; E-commerce; Investment,14,Electronic Commerce Research,2020
389,Sun L.; Guo J.; Zhu Y.,A multi-aspect user-interest model based on sentiment analysis and uncertainty theory for recommender systems,"This work presents a new multi-aspect user-interest model for recommender systems to improve recommendation and prediction accuracy. We introduce the overall user satisfaction for a product to build a user-interest profile by computing the user-interest levels from multi-aspect reviews. A domain emotional dictionary is built to overcome the gap in quantity between negative and positive words for sentiment polarity analysis. A sentiment analysis model is designed to characterize the users’ sentiment polarity and strength based on uncertainty theory and the domain emotional dictionary. Accordingly, a new multi-aspect user-interest model is proposed by considering the sentiment analysis model with the user-interest profile. Then, our proposed model is applied to recommender systems and experimentally tested on five products of different categories from three e-commerce websites. Our model not only outperforms the traditional and state-of-the-art models on rating prediction tasks but also improves the recommendation accuracy in multiple domains. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Product reviews; Recommender system; Sentiment analysis; Uncertainty theory; User interest,14,Electronic Commerce Research,2020
390,Thakur S.,A reputation management mechanism that incorporates accountability in online ratings,"Online reputation has a strong impact on the success of a seller in an e-marketplace. Also, buyers use it to choose an appropriate seller among a set of alternatives. The standard practice of determining the reputation of a seller is the aggregation of the feedbacks or the ratings reported by its buyers. Such a model of reputation formulation is vulnerable to misleading and unfair feedbacks. A seller may collude with a set of buyers to report good feedbacks while the quality of its product is poor. Also the buyers can report unfair feedbacks being irrational, malicious or competitors. A robust reputation management mechanism is the one which can not be manipulated by these unfair feedbacks. The existing reputation management models are either reactive or proactive. The reactive solutions intend to identify the unfair feedbacks and the proactive solutions propose incentive to the buyers to encourage them to report fair feedbacks. In this paper, we propose an incentive system that encourages the buyers to report fair feedbacks. We associate a buyer’s reputation with a seller’s reputation if the buyer has expressed its feedback about the seller. If the reputation of the seller decreases then the reputation of all buyers who had endorsed it (provided positive feedbacks) also decreases and vice versa. This means a buyer risks its own reputation by providing the feedback about a seller. In this paper, we show that such a mechanism is incentive compatible, i.e., it encourages the buyers to provide fair feedbacks. Using analytical and experimental analysis, we show the correctness of this reputation management system. © 2017, Springer Science+Business Media, LLC, part of Springer Nature.",e-marketplace; Reputation; Trust,14,Electronic Commerce Research,2019
391,Wu J.; Wang N.; Wang Z.,Impact of information technology capability on financial performance during the period of economic downturn: the case of Chinese listed companies,"Several earlier studies validate the positive impact of information technology (IT) capability on firm performance during economic expansion in developed countries. Given sustained IT investments and rapid adoption of various IT in developing countries (e.g. China) in the 2000s, there is a need for new research to test whether prior findings still hold true with up-to-date data from a period of economic downturn in developing countries. Thus, this study attempted to reexamine the linkage between IT capability and financial performance during recent financial crisis in 2008, especially in China context. Our results show that during the period of financial crisis, Chinese firms with superior IT capability tend to outperform a sample of control firms on average profit ratios but not on cost ratios, even after adjusting for prior performance. We also find that the profit performance effects of IT capability can be sustained over a long period of economic downturn. This study contributes to research by extending a different context (i.e. China) from developed countries with new data from economic downturn and providing new finding to reconcile prior research. © 2016, Springer Science+Business Media New York.",China; Economic downturn; Financial crisis; IT capability,14,Electronic Commerce Research,2017
392,Tian Y.; Ye Z.; Yan Y.; Sun M.,A practical model to predict the repeat purchasing pattern of consumers in the C2C e-commerce,"In the recent decade, the C2C e-commerce has developed very fast and played a key role in the internet transaction. However, no work has been reported about predicting the consumers’ repeat purchasing pattern in the area so far. To fill the gap, this paper develops a novel predicting model according to some special characteristics of the C2C e-commerce. This model only uses the information about frequencies and timings of transactions. Thus, it is simple and convenient to be implemented. To verify the validity of the model, we test some samples from the real transaction data. The numerical results show that the new model outperforms the benchmark Pareto/NBD model. Thus, it is indeed an easy but powerful tool for the vendors on the C2C platform to predict the repeat purchasing pattern of consumers in the C2C e-commerce. © 2015, Springer Science+Business Media New York.",C2C e-commerce; Prediction; Repeat purchasing pattern,14,Electronic Commerce Research,2015
393,Akoumianakis D.,Electronic community factories: The model and its application in the tourism sector,"The electronic community factory (ECF) is proposed as an archetype for value creating cross-organization virtual communities of practice in which members engage actively and through domain-specific tools in the practice the community is about. In an ECF the reason for building the community is to appropriate the benefits of virtual networking for developing new products of added-value and collective ownership. In terms of engineering an ECF, the normative perspective adopted is that community management is distinctively different from engaging in the practice the community is about. Respectively, the tools needed for each function should embody this philosophy and be designed accordingly. The paper elaborates on the concept of the ECF and demonstrates its value through a pilot in regional tourism. Virtual ethnographic studies provide insights to operational aspects of the ECF and how it fosters community and practice management. Collectively, the results reported in the paper constitute an alternative model for community-based electronic commerce suitable for value-creating cross organization virtual communities of practice engaging in high quality product assembly in information based industries. © Springer Science+Business Media, LLC 2010.",Community management; Electronic community factories; Practice toolkits; Virtual ethnography,14,Electronic Commerce Research,2010
394,Papaioannou T.G.; Stamoulis G.D.,A mechanism that provides incentives for truthful feedback in peer-to-peer systems,"We propose a mechanism for providing the incentives for reporting truthful feedback in a peer-to-peer system for exchanging services (or content). This mechanism is to complement reputation mechanisms that employ ratings' feedback on the various transactions in order to provide incentives to peers for offering better services to others. Under our approach, each of the transacting peers (rather than just the client) submits a rating on the performance of their mutual transaction. If these are in disagreement, then both transacting peers are punished, since such an occasion is a sign that one of them is lying. The severity of each peer's punishment is determined by his corresponding non-credibility metric; this is maintained by the mechanism and evolves according to the peer's record. When under punishment, a peer does not transact with others. We model the punishment effect of the mechanism in a peer-to-peer system as a Markov chain that is experimentally proved to be very accurate. According to this model, the credibility mechanism leads the peer-to-peer system to a desirable steady state isolating liars. Then, we define a procedure for the optimization of the punishment parameters of the mechanism for peer-to-peer systems of various characteristics. We experimentally prove that this optimization procedure is effective and necessary for the successful employment of the mechanism in real peer-to-peer systems. Then, the optimized credibility mechanism is combined with reputation-based policies to provide a complete solution for high performance and truthful rating in peer-to-peer systems. The combined mechanism was experimentally proved to deal very effectively with large fractions of collaborated liar peers that follow static or dynamic rational lying strategies in peer-to-peer systems with dynamically renewed population, while the efficiency loss induced to sincere peers by the presence of liars is diminished. Finally, we describe the potential implementation of the mechanism in real peer-to-peer systems. © 2010 Springer Science+Business Media, LLC.",Collusion; Credibility; Markov model; Rational adversaries; Steady state; Strategyproof; Sybil attack,14,Electronic Commerce Research,2010
395,Rahaman M.; Alam S.; Haque R.; Shaikh A.A.; Behera P.K.; Mondal S.P.,"An economic production quantity model for an imperfect production system with selling price, advertisement frequency and green-level dependent demand","The consumer’s demand for certain products must be grown through frequent promotion. Also, maintaining the green level of the products can catch customers’ attention. The demand can be boosted by lowering the selling price per unit quantity. These essential issues should be considered while modelling the demand function for a production-retail scenario. The production of commodities cannot be error-free. A small part of the production may be imperfect, and the rate of the imperfect output must be increased as time forwards. The production cost increases as the advertisement frequency, maintenance of green level advances, and time forwards. The inventory carrying cost per unit product also hikes with time. This paper presents a comprehensive inventory optimization model, including the mentioned issues in its hypotheses. The result shows that the average profit is significantly sensitive to the selling price and production cost per unit. The resultant managerial insights after solving the proposed model are as follows. First, the average profit increases with the selling price hike and frequent advertisement. Second, the green level cannot increase average profit, though it causes surplus demand, because maintaining green levels of items incurs additional costs. Third, accumulating defective items during production diminishes average profit as the sellable products are lowered. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Green product; Imperfect production; Time dependent defective rate; Variable demand; Variable production cost,13,Electronic Commerce Research,2025
396,Hossain M.B.; Dewan N.; Senin A.A.; Illes C.B.,Evaluating the utilization of technological factors to promote e-commerce adoption in small and medium enterprises,"This study examined the technological factor's utilization to promote the e-commerce in small and medium sized enterprises in Bangladesh. The technological factors are, Information and communication adoption, Internet connectivity, and Business data management. The e-commerce adoption factors involve the strategic innovation, research and development activity, and Productivity growth. The electronic commerce is being widely adopted in Bangladesh in the time of covid-19 pandemic. In the adoption of e-commerce, prominent factors are the internet connectivity, which plays a major role and Business data management which has equal importance for SMEs. SMEs have limited access to data as compared to multinational industries. However, the data has equal importance for multinational and SMEs to improve the e-commerce business. The research collects data from 115 SMEs from Bangladesh relating to different fields. The random selection method has been advised to collect data from SMEs aged not less than five years. The data collected for this research is through the interested parties of small and medium sized enterprises in Bangladesh. The data of the research is interpreted and analyzed through statistical software SPSS. © The Author(s) 2023.",Bangladesh; e-Commerce adoption; SMEs; Technological factors,13,Electronic Commerce Research,2025
397,Zhao T.; Jiao F.,Does digital financial inclusion promote common prosperity? The role of regional innovation,"This paper uses the panel data of 31 provinces in China from 2011 to 2021 to empirically test the relationship between digital inclusive finance (DINDEX), regional innovation, and common prosperity (CPP) by using the fixed effect model as well as the structural equation model. According to the findings of the study, digital inclusive finance has a considerable promoting influence on the attainment of the aim of common prosperity, with the breadth and depth of coverage of digital inclusive finance having a greater promoting effect on common prosperity. Based on the analysis of regional heterogeneity, digital inclusive finance has a favorable influence on boosting the common prosperity level of China's Eastern and Central provinces. Furthermore, digital inclusive finance has a higher driving influence on common prosperity in the Eastern provinces but has no effect in the Western provinces. The level of regional innovation has played a partial mediating role in the process of promoting common prosperity through digital inclusive finance. Therefore, it is necessary to focus on the integration and development of digital inclusive finance and regional innovation, to help the realization of common prosperity. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Common prosperity; Digital financial inclusion; Fixed effects model; Regional innovation; Structural equation model,13,Electronic Commerce Research,2025
398,Yu W.; Du B.; Guo X.; Marinova D.,Total factor productivity in Chinese manufacturing firms: the role of E-commerce adoption,"This paper seeks to investigate the relationship between e-commerce and total factor productivity (TFP) at the manufacturing firm level. Using data of 178 A-share listed companies in China during the period from 2015 to 2021, the article empirically tests the questions of whether and how e-commerce used directly by manufacturing firms can boost their productivity growth. The result shows that the penetration of e-commerce in manufacturing has a positive and significant effect on TFP growth. It is also found that the spillovers of intra-firm human capital and the effect of inter-firm market competition both play a crucial role in linking e-commerce to firm-level TFP growth. Specifically, e-commerce is beneficial to driving TFP growth significantly through attracting high-quality rather than low-quality human capital accumulating in manufacturing firms, as well as through improving appropriately market concentration rather than increasing the intensity of market competition. This article contributes to the existing literature by exploring the productivity-driving force of manufacturing firms which face transformation from a focus on the production to the marketing chain within the context of online business. It also provides policy applications how to improve the TFP of manufacturing firms through the use of digital platforms. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",E-commerce; Manufacturing enterprises; Platform economy; Total factor productivity,13,Electronic Commerce Research,2025
399,Chandna V.; Salimath M.S.,Co-creation of value in Platform-Dependent Entrepreneurial Ventures,"Despite the rise in digital platforms, particularly platform-dependent entrepreneurial ventures (PDEVs), and the potential for collaboration among different stakeholders, the dynamics of co-creating value in this context remains unexplored. To address this gap, we offer an integrated conceptual framework that combines prior research on ambidexterity and co-creation and take a two-step approach for analysis: first, the direct impact of multiple dimensions of co-creation (i.e., dialog, access, risk analysis and transparency) on strategic outcomes is analyzed; second, the modus operandi of co-creation’s indirect effects within a dynamic environment alongside ambidexterity is analyzed. Results from 298 PDEVs support the direct effects of a co-creation strategy on firm outcomes, as well as the independent benefits of the dialog and access dimensions. Results from the subsequent process-focused model also support the indirect effects of co-creation, with exploitation being crucial for converting the value from co-creation into beneficial outcomes. © This is a U.S. government work and not under copyright protection in the U.S.; foreign copyright protection may apply 2022.",Ambidexterity; Co-creation; Digital entrepreneurship; Digital platforms; Entrepreneurship,13,Electronic Commerce Research,2024
400,Kang W.; Shao B.; Chen H.,What influences users’ continuance intention of internet wealth management services? A perspective from network externalities and herding,"In recent years, more and more wealth management platforms have adopted Internet wealth management (IWM) services to attract users. Due to the intensive competition and low switching costs, it is essential for platforms to enhance users’ willingness to continue using IWM services. Comprehensively considering the role of network externalities and herding, this study identified the factors affecting users’ continuous intention of IWM service. The research model was tested using survey data collected from 637 respondents concerning their perceptions of IWM services. The results indicate that network externalities (network size, perceived complementarity, network strength) have significant impact on herding and perceived value, thus affecting continuance intention. Furthermore, herding and perceived value have a greater impact on continuance intention of users with low financial literacy than that of users with high financial literacy. This study could benefit wealth management platforms and researchers seeking to improve the retention rates of IWM users. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022.",Continuance intention; Financial technology; Herding; Internet wealth management services; Network externalities; Perceived value,13,Electronic Commerce Research,2024
401,Guo X.; Gao K.; Wang S.,Share or not share: the optimal logistics service strategy in a dual-channel e-commerce supply chain,"In practice, many large e-tailers share their logistics service with others, which makes a new trend of logistics service sharing (LSS) emerge. To explore the effects of LSS on firms in the dual-channel supply chain, we propose an analytical model consisting of a manufacturer and an e-tailer and further study the effects of LSS on firms’ decisions and profits. Our results show that the effects of LSS depend on the manufacturer’s logistics service disadvantage and the logistics service cost difference between the manufacturer and e-tailer. Surprisingly, we find that the manufacturer will be worse off from LSS when its logistics disadvantage is sufficiently large due to the loss of wholesale profit. However, the e-tailer can benefit from LSS when the manufacturer’s logistics service disadvantage is relatively small, or the manufacturer’s logistics service disadvantage is moderate but the logistics service cost difference is small. Moreover, such sharing can achieve a win–win situation only when the manufacturer’s logistics service disadvantage is extremely small and the logistics service cost difference is large. Finally, from the perspective of maximizing the performance of the supply chain, we explore the optimal logistic service sharing strategy, and further design a contract to encourage all supply chain members to join such sharing. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022.",Cooperation; Dual-channel; e-commerce; Logistics service sharing; Supply chain management,13,Electronic Commerce Research,2024
402,Cheng Y.; Mei S.; Zhong W.; Gao X.,Managing consumer privacy risk: The effects of privacy breach insurance,"Inappropriate management of information security of e-commerce websites exerts a negative effect on consumers’ purchase decisions because it may cause consumer data leakage. To mitigate this negative effect, some e-commerce firms such as Taobao in China voluntarily offer privacy breach insurance to consumers. Even though this fresh management of information security is becoming popular in practice, there are still rare academic studies concerning this hot topic. To fill this gap, this paper constructs a multi-stage game-theoretic model to examine the impacts of privacy breach insurance on a monopoly firm and to identify the market condition under which the firm would like to employ privacy breach insurance. We find that when consumers’ data leakage concern is low and firm’s data leakage possibility is low, privacy breach insurance always encourages more consumers to purchase. Otherwise, privacy breach insurance stimulates purchase only when the compensation of privacy breach insurance remains high. Furthermore, we reveal that the monopoly firm would provide privacy breach insurance when consumers’ data leakage concern remains low. These fresh results suggest that privacy breach insurance acts as an efficient measure e-commerce firms could take to address increasingly serious information security threats. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Data leakage concern; Privacy breach insurance; Privacy risk; Website security,13,Electronic Commerce Research,2023
403,Zhang Y.; Long J.; Zhao W.,Building dynamic capabilities of small and medium-sized enterprises through relational embeddedness: evidence from China,"In a highly volatile environment, i.e., the bottom of the pyramid (BOP) context, small and medium-sized enterprises (SMEs) can develop and adapt their resource bases through partner relations, extending the emerging theorization of dynamic capabilities. We explore the detailed nature and antecedents of these dynamic capabilities based on a multicase study by tracing the development of 6 BOP-oriented SMEs in the pharmaceuticals, animal husbandry, agricultural product processing, and distribution fields. The research was conducted between June 2019 and November 2020. First, our rich qualitative data indicate two distinct types of dynamic capabilities that are pivotal for short-term performance advantage and sustainable competitive advantage. Adaptation dynamic capability relates to activities of resource deployment and renewed operational capability, which is supported by local legitimacy and trust mechanisms, constructed by strong ties with noncommercial partners. Shaping dynamic capability relates to activities of path-creation and innovation capability, which is supported by the heterogeneous information and cost advantages, generated by weak ties with commercial partners. Second, SMEs give priority to the development of adaptation dynamic capability as the basis of shaping dynamic capability, while their sequencing explains how SMEs create, leverage, and enhance them over time. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Adaptation dynamic capability; BOP; Case study; Relational embeddedness; Shaping dynamic capability; Strong/weak ties,13,Electronic Commerce Research,2023
404,Chu X.; Liu Y.; Chen X.; Ding Z.; Tao S.,What motivates consumer to engage in microblogs? The roles of brand post characteristics and brand prestige,"Microblogs have gained concerns from both academics and practitioners owing to their great potential for communication and diffusion. Brand managers can release posts containing photo, video, and hashtags besides a short text on microblog platforms. This study concentrates on the influence of explicit characteristics in brand post (i.e., photo, video, hashtags, and brand personality traits) on consumer engagement (i.e., number of likes, comments, and shares of brand post). Furthermore, we propose that brand prestige moderates the relationships between brand post characteristics and consumer engagement. We examine these hypotheses with a dataset that includes more than 250,000 brand posts across about 70 brands’ official accounts collected from the platform Sina Weibo, the largest and most popular microblog platform in China. Our research yields interesting findings that uncover the relationships among different characteristics of brand post and consumer engagement under different levels of brand prestige. We conclude the paper by highlighting its theoretical and practical contributions. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Brand microblog; Brand personality traits; Brand prestige; Consumer engagement; Hashtags,13,Electronic Commerce Research,2022
